,_id,Id,Date,League,Season,Round,Home,Away,FT_Goals_H,FT_Goals_A,Total_Goals_FT,Pontos_H,Pontos_A,FT_Result,Over25_FT,Under25_FT,Home_Win,Away_Win,Draw,BTTS,BTTS_NO,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_BTTS_Yes,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_No
0,64bc1517339a142e122a8c02,QR17o0p4,01/01/2022,INGLATERRA - PREMIER LEAGUE,2021/2022,RODADA 21,Arsenal,Manchester City,1,2,3,0,3,A,1,0,0,1,0,1,0,"5,25","4,2","1,6","1,75","1,72","2,1","2,0"
1,64bc1517339a142e122a8c03,YiRpaJE3,01/01/2022,INGLATERRA - PREMIER LEAGUE,2021/2022,RODADA 21,Watford,Tottenham,0,1,1,0,3,A,0,1,0,1,0,0,1,"5,5","4,0","1,6","1,8","1,8","2,0","1,95"
2,64bc1517339a142e122a8c04,GGfKrbUM,01/01/2022,INGLATERRA - PREMIER LEAGUE,2021/2022,RODADA 21,Crystal Palace,West Ham,2,3,5,0,3,A,1,0,0,1,0,1,0,"3,4","3,4","2,15","1,9","2,1","1,72","1,9"
3,64bc1517339a142e122a8c05,6qrNuVDr,01/03/2022,INGLATERRA - PREMIER LEAGUE,2021/2022,RODADA 22,Burnley,Leicester,0,2,2,0,3,A,0,1,0,1,0,0,1,"2,9","3,25","2,5","1,75","2,02","1,88","2,0"
4,64bc1517339a142e122a8c06,dM2o2KIh,01/04/2022,ALEMANHA - 2. BUNDESLIGA,2021/2022,RODADA 28,Dresden,Schalke,1,2,3,0,3,A,1,0,0,1,0,1,0,"4,0","3,6","1,9","1,72","1,83","2,02","2,0"
5,64bc1517339a142e122a8c07,4n6g0bm5,01/04/2022,ALEMANHA - 2. BUNDESLIGA,2021/2022,RODADA 28,Ingolstadt,Aue,3,2,5,3,0,H,1,0,1,0,0,1,0,"2,4","3,5","2,8","1,61","1,72","2,07","2,2"
6,64bc1517339a142e122a8c08,U57l0fgr,01/04/2022,ALEMANHA - BUNDESLIGA,2021/2022,RODADA 28,Union Berlin,Köln,1,0,1,3,0,H,0,1,1,0,0,0,1,"2,25","3,3","3,3","1,9","2,2","1,66","1,9"
7,64bc1517339a142e122a8c09,runqgBqi,01/05/2022,FRANÇA - LIGUE 1,2021/2022,RODADA 35,Troyes,Lille,3,0,3,3,0,H,1,0,1,0,0,0,1,"3,4","3,4","2,2","1,8","2,1","1,72","1,95"
8,64bc1517339a142e122a8c0a,fZw5o93m,01/05/2022,INGLATERRA - PREMIER LEAGUE,2021/2022,RODADA 35,Everton,Chelsea,1,0,1,3,0,H,0,1,1,0,0,0,1,"5,0","3,75","1,7","1,95","2,04","1,86","1,8"
9,64bc1517339a142e122a8c0b,IyVPtoII,01/05/2022,INGLATERRA - PREMIER LEAGUE,2021/2022,RODADA 35,Tottenham,Leicester,3,1,4,3,0,H,1,0,1,0,0,1,0,"1,33","5,25","9,0","1,9","1,57","2,37","1,9"
